ts,rss_kb,pss_kb,fd,threads,cpu_pct,tcp_inuse,tcp_mem_pages,sockets_used,slab_tcp_kb,meminfo_used_kb
1782776254,3028,1155,27,14,0.00,833,493,2768,0,20425576
1782776259,46892,45019,200019,14,97.67,400315,1517,402238,0,21704412
1782776265,46892,45019,200019,14,0.38,400319,1259,402245,0,21715836
1782776270,46892,45019,200019,14,0.00,400316,1259,402235,0,21690096
1782776275,46892,45019,200019,14,0.00,400317,1259,402236,0,21696064
1782776280,46892,45019,200019,14,0.00,400316,1259,402239,0,21740600
1782776286,46892,45019,200019,14,0.19,400316,1259,402248,0,21755216
1782776291,46892,45019,200019,14,0.00,400318,1259,402249,0,21818556
1782776296,46892,45019,200019,14,0.00,400316,1001,402245,0,21800188
1782776301,46892,45019,200019,14,0.19,400319,1001,402255,0,21784924
1782776307,46892,45019,200019,14,0.00,400313,1001,402242,0,21751360
1782776312,50144,48271,239470,14,125.00,494994,134633,497849,0,22404512
1782776318,56672,54799,209227,14,97.53,489920,19945,493894,0,22028324
1782776324,57204,55331,215100,14,106.59,481160,15081,484674,0,21910004
1782776330,58764,56891,123624,14,57.85,153211,1257,161609,0,21566600
1782776335,63276,61403,258334,14,62.20,518489,39408,520435,0,21781720
1782776341,65568,63699,247148,14,102.45,508025,37616,510002,0,21701272
1782776347,66084,64211,55847,14,60.65,268122,8944,272069,0,21260672
1782776352,69324,67451,172703,14,91.99,249176,8688,255251,0,21525148
1782776358,72360,70487,260230,14,48.33,521868,7152,523824,0,21610184
1782776364,72696,70823,74354,14,55.11,149017,1264,154099,0,21180068
